ResponseId,ticket,Durationinseconds,Progress
R_2bTvLSKYer7Iorh,b64bda60349f4536_861b49d1857524a8_cc430c747a15dd31_7c3bed402fde8b381faf834ac0972558,4207,100
R_3Ez1lC5jcscJfbC,5b00d87f2d01aba1_861b49d1857524a8_cc430c747a15dd31_4acf36f7718dc41e6ecb1d18e2bffd69,4369,100
R_30nIjIgACSLJeyZ,a4776760dab0f3a6_861b49d1857524a8_cc430c747a15dd31_acecf16b7de3542fc9f356e2a79fa32f,3736,100
R_3M9fGN2HPnb4Dup,411a805f4aa99137_861b49d1857524a8_cc430c747a15dd31_7061cc1525c61e1ba633ad639cedcb92,2747,100
R_pxFl2jdy64ojIAx,22d2170c6c4d92c3_861b49d1857524a8_cc430c747a15dd31_633bd8de6f3266e87548a4490b01a6d0,3623,100
R_rfDYIwjy0qWq2Ax,f040c3a55dd711d0_861b49d1857524a8_cc430c747a15dd31_1f27298aea02b7da022382dc4afe0ed3,4013,100
R_sNoJBoPCxldh321,bc57587d0aa8061d_861b49d1857524a8_cc430c747a15dd31_00d02c15e94b78e74ae0229a63ac4c3e,3592,100
R_a8LAaUlhV3OmQZb,5528047c460f2009_861b49d1857524a8_cc430c747a15dd31_44471565044c8b7026494c4eb72773ae,3572,100
R_2PhTUyAw6OLpFl0,0ad21bd902910416_861b49d1857524a8_cc430c747a15dd31_e2209bd0349d26869f20d78ec28e9580,3079,100
R_1n16MsBQcx49Kkl,d039da548a260caf_861b49d1857524a8_cc430c747a15dd31_f3b78f8baa712c0b35aba638df471848,44782,100
R_2CIHoDsv9ox6hIa,82119925094359ca_861b49d1857524a8_cc430c747a15dd31_1cb9f96dc9df75765c8e051862877568,5047,100
R_3MmrArAXHu47g1s,49003f518d7d08b4_861b49d1857524a8_cc430c747a15dd31_4bdbe9f16e55fb6c491f5f00248b0dcb,6722,100
R_1gbfuP1PZLsrJPH,a582300b7f9447d1_861b49d1857524a8_cc430c747a15dd31_999f129684535beac1b31274577212ce,3985,100
R_wY5P5VA1zf50hqN,7da96dc43c019882_861b49d1857524a8_cc430c747a15dd31_9843fb3cab48e3f0eb4b5bd8209bd585,3235,100
R_11aOuIdYOQqthnW,f8386c1d464d28ca_861b49d1857524a8_cc430c747a15dd31_cd5d1dce8e1f7e4dc57bf3a885d80528,7270,100
R_1FKRgXBsx62CIZY,fb55df4a932139ba_861b49d1857524a8_cc430c747a15dd31_654fd4e7aad32e6e4f2bfd363ba7eb91,10531,100
R_br9JMszNVThAZzP,5773b07af97655b7_861b49d1857524a8_cc430c747a15dd31_ba20b6139ad5f99c987d4541c058f02c,10508,100
R_8wZToaFoWBkDfCp,d2734af190b350b5_861b49d1857524a8_cc430c747a15dd31_ce83be69934a8656c9bc4b55f7ef613b,3523,100
R_2v0yKa6efl2OZH4,f9f1491a9bfb5135_861b49d1857524a8_cc430c747a15dd31_b5ef70e4d8c34aaa522aa2970713647b,2530,100
R_DOD8ySfCLMpErJf,cb14720d6670941c_861b49d1857524a8_cc430c747a15dd31_245d56ebbf7e1c4cd920c1f2f6adb884,4574,100
R_1g7PikSHBaBhOg9,04c72cc8968f5164_861b49d1857524a8_cc430c747a15dd31_1d73ef4f28aee7a32222ee5e4c59831f,21685,100
R_2D7XVK8hwmEKaUe,07f49d9141fa8d38_861b49d1857524a8_cc430c747a15dd31_e19352323801200ca284c79afd3ac0d0,5759,100
R_2c8DHNpjkwSn8eZ,fd33dd3aa5b257bb_861b49d1857524a8_cc430c747a15dd31_c1ad5bf7f6b1490d6ffe0b75bc1b6f58,48258,100
R_3GoCYtXUAWZBEuN,0b15465db2f7b74f_861b49d1857524a8_cc430c747a15dd31_817533f0554fef5e5e9014eb3e14e3bf,3739,100
R_1mP3txH9cKrbqEb,c833c5ac42cd4a48_861b49d1857524a8_cc430c747a15dd31_20f0e123f2651971df661934c4a295a3,4483,100
R_3q849EtEvSyENf6,f701d9c02d189afc_861b49d1857524a8_cc430c747a15dd31_28c4e514f6af32ce7c8c892d45426ddb,8426,100
R_269KyGZjDcWVezH,b97cc56620c9928c_861b49d1857524a8_cc430c747a15dd31_9c564c0b88af0eb555c937221f33a492,5021,100
R_pcpNHY1m2zMPuuJ,1a296d59a4b2446a_861b49d1857524a8_cc430c747a15dd31_d233ddccf90af751dc9a4ca58239f5bb,3791,100
R_3P5n2u9S1tgi0iW,b0380a98b02a5802_861b49d1857524a8_cc430c747a15dd31_16b2f6e7deec5b15ae6ccd599af4f76c,6276,100
R_rqzHx9YsI754OT7,2503ab033f81c411_861b49d1857524a8_cc430c747a15dd31_f12b7bba28ec5d86436d1ef5015ad994,6680,100
R_3phD4TalPcF55JW,23bdb8c98bdd012c_861b49d1857524a8_cc430c747a15dd31_a24266e81663ffd7749ad7e686b07482,4842,100
R_1QAicHUgG4N0cs2,019d230990646f5a_861b49d1857524a8_cc430c747a15dd31_7eefd9c1d04b79ed8d8fb4f8cfcc9041,8117,100
R_2EzBMUtYWqWCyKx,73884cb169068790_861b49d1857524a8_cc430c747a15dd31_7a790c133ad4e19a263898f0b39ecc75,79610,100
R_302D936et51pEtW,68038518bafcd4c2_861b49d1857524a8_cc430c747a15dd31_7dc383b4c6baae273da274d21d9a26b1,4666,100
R_U9I3ybMKSXhxlcd,1d558bd5844a9165_861b49d1857524a8_cc430c747a15dd31_38c454a7baffb07959af6906382a3bb5,4432,100
R_25kFRxRc6SEItFL,89d2aa4a4626447b_861b49d1857524a8_cc430c747a15dd31_37f4d4eb2fb0d6ce4361ee684b6fb4ee,4805,100
R_3OjHq4C6AxebKvl,a08f88b250f5c41c_861b49d1857524a8_cc430c747a15dd31_6bb3632a880b77d0d628eb01b7e2dcf7,5667,100
R_1hxUvlpdF7xX7MB,69807533a04a14bc_861b49d1857524a8_cc430c747a15dd31_060f49e7d8a9427c51d7a9cc057c4708,3402,100
R_UN2QCK3MtTqX0Gt,97489d2bfd55f207_861b49d1857524a8_cc430c747a15dd31_90df3874b969367d0760c3dc60ad851c,5722,100
R_3his5KzRxqev79T,50db04b74a206fd8_861b49d1857524a8_cc430c747a15dd31_d5385ff53a1fd93c826efb164ac2ad12,12588,100
R_430It10aTo8skrT,dfa3a7fb6ab51992_861b49d1857524a8_cc430c747a15dd31_8ae09f417c9f0e13a3125528d4bd77f7,26927,100
R_20YBwOVy7qk8Adu,8a39c5c4035b92f7_861b49d1857524a8_cc430c747a15dd31_b28b41d62d96c53b13f809fe0d17218d,3824,100
R_2Xgpxbv6gZTdwoo,a8051daf47f253db_861b49d1857524a8_cc430c747a15dd31_ea9654895ec4c43758501dcb6d19522d,5126,100
R_1NmnqjqBJAKhw9T,a4bd485ab9daa11c_861b49d1857524a8_cc430c747a15dd31_d2bf4411a6b874046ee4ab1a0b338479,5568,100
